Data Series,GDP In Chained (2015) Dollars,  Goods Producing Industries,    Manufacturing,    Construction,  Services Producing Industries,    Wholesale & Retail Trade And Transportation & Storage,"    Information & Communications, Finance & Insurance And Professional Services","    Accommodation & Food Services, Real Estate, Administrative & Support Services And Other Services Industries"
2021 4Q ,128440.5,34736.7,29160.9,3684,80995.2,25992.4,32251.7,22788.7
2021 3Q ,123844.4,33871.4,28361.9,3625.1,78089.9,24489.4,31473.2,22257.2
2021 2Q ,122091.6,33168.3,27835.6,3456.2,76898.5,24324.3,30748.2,21924.2
2021 1Q ,121785.1,32744.9,27218.2,3699.5,76569.2,24094.3,30006,22616
2020 4Q ,120999.9,30569.5,25237.8,3578.8,77553.3,24947.6,30243.6,22422.4
2020 3Q ,115195.7,30326.4,26274,2133.7,73131.3,23089.5,28853.7,21293.1
2020 2Q ,105447.8,26976.4,23547.7,1578.6,68985.4,22380.2,27598.1,19019.5
2020 1Q ,119413.5,30748,24403.5,4752.2,76412.6,24215.6,28898.1,23427.2
2019 4Q ,122150.5,29196.5,22649.5,5041.3,79868.3,26179.6,29130.1,24611.4
2019 3Q ,120755.3,30038.6,23667.5,4765,78191.8,25422.7,28006.4,24846.9
2019 2Q ,120075.5,29955.7,23650.6,4705.2,77536.9,25515.6,27699.6,24369.9
2019 1Q ,118003.3,29036.1,22529.7,5037.1,76242.5,25157.9,26777.9,24352.8
2018 4Q ,120523.8,30097.8,23598.8,4961.5,78020.3,26455.2,26786.1,24755.8
2018 3Q ,119866,30296.9,23965.8,4751.3,77340,25902.7,25871.8,25585.7
2018 2Q ,118936.6,30061.4,23764.6,4720.2,76380.4,25537,25562,25306.2
2018 1Q ,116445.3,29061,22533.9,5064.5,75071.1,24883.3,25193.7,25040.9
2017 4Q ,118778.9,29137.9,22564.9,5046.4,76663.5,26570.5,25429.7,24635.1
2017 3Q ,116108.1,29454.8,23163.1,4734.9,74663.1,24967.2,24892.1,24809.4
2017 2Q ,113141.9,27660.7,21489.4,4654.3,73582.6,24559.4,24424.7,24607.1
2017 1Q ,110938.6,26917.8,20481.6,4954.6,71908.7,24241.8,23426.4,24245.4
2016 4Q ,113441.1,27827.3,21335.6,4962.5,73720.8,26046.1,23549.8,24124.9
2016 3Q ,110098.6,26000.5,19414,5056.2,72330.4,24674,23117.9,24538.7
2016 2Q ,109024.3,26499.4,19795.1,5166.5,70834.1,23836.9,23004.8,23992.1
2016 1Q ,105961.9,25498.3,18888.4,5141.4,69290.5,22766.3,22599.9,23924.4
2015 4Q ,108239,25934.1,19089.8,5312.3,71028.5,24439.6,23115.7,23473.6
2015 3Q ,106783.2,25770.6,19062.5,5177,70470.1,24200.8,22653.5,23613.2
2015 2Q ,105849.7,26015.5,19487.7,5043.8,69325.9,23973.9,22499.5,22851.3
2015 1Q ,102572.2,25264.1,18958.2,4897.7,67278.5,22985.3,22049.5,22247.2
2014 4Q ,105931.8,26746.8,20353.7,4968,69158.7,24259.3,22619.8,22250.7
2014 3Q ,103017.9,26494.2,20214.3,4831.2,66895.6,23114.1,21675.7,22108
2014 2Q ,102643,26395.9,20359.3,4639,66539,23060.1,21341.1,22137.6
2014 1Q ,99610.7,25999,19811,4836.6,64277.9,21986.3,20837.8,21473.1
2013 4Q ,101366.2,26608.8,20591.9,4655.8,65313.5,23298.7,20607.6,21333.3
2013 3Q ,99385.2,25732.5,19876.5,4458.8,64184.7,22413.9,20180.2,21596.4
2013 2Q ,99358.7,25694.1,20083.7,4256.2,63962.1,22220.5,20399.4,21347.9
2013 1Q ,95523,23731,18076.5,4348.9,62343.9,21550.1,20115.9,20685.5
2012 4Q ,96455.2,25056.9,19218.8,4495.3,61688.5,22094.6,19119.8,20391.7
2012 3Q ,93656.6,24620.7,18888.6,4364.2,59561.9,21185.2,18156.3,20199.6
2012 2Q ,94982.9,25446.3,19927.6,4193.1,60071.6,21584.4,18276.7,20139.7
2012 1Q ,92354.3,24808.9,19301.1,4236.7,58085.3,20093.4,17898.8,20194.4
2011 4Q ,92084.3,24776.3,19261.4,4244.8,58183.9,20639.5,17813.9,19702.1
2011 3Q ,91787.2,24461,19164.7,3987.7,58093.9,20417.2,17768.1,19941.6
2011 2Q ,89460.8,24117.8,19147.1,3663.8,56116,19947.9,16855.3,19316.1
2011 1Q ,88086,24454.5,19516.9,3716.2,54692.8,18919.7,16785.5,19104.1
2010 4Q ,87464.6,22847.1,17617,3949,55521.5,19650.9,17164.6,18657.1
2010 3Q ,85183.5,22671.7,17597,3808.9,53566.1,19004.6,16299.6,18259.2
2010 2Q ,86924,24874.5,19901.8,3704.5,52796.5,18566.5,16111.3,18165.6
2010 1Q ,80698.6,21224.6,16391.2,3636.2,50607.3,17694.6,15771.9,17145.1
2009 4Q ,77216,19207.2,14017.3,3966.1,49436.1,17387.6,15556.1,16447.8
2009 3Q ,77238.8,20205.2,15475.5,3560.8,48298.3,16810.1,15311.8,16151.4
2009 2Q ,73277.9,18134,13701.8,3288.8,46744.7,16214.5,14827,15689.1
2009 1Q ,69395.7,16312.9,11948.5,3293.1,45159.8,15649,14072,15470.4
2008 4Q ,72296.6,17981.3,13683.5,3288.2,46256.2,16542.4,14275.6,15471
2008 3Q ,75107.9,18553.6,14391.2,3066.9,48157.4,17849.9,14744.9,15376.9
2008 2Q ,74147.7,17549.8,13777.5,2661.2,48299.2,18015.8,14857,15181.6
2008 1Q ,75196.5,19378.8,15678.6,2518.6,47330.5,17633,14466.6,15018.8
2007 4Q ,74862.4,19076.3,15327.4,2575.8,46991.2,17310.7,14755.4,14702.1
2007 3Q ,75167.4,19752,16160.9,2337.5,46224.3,17169.6,14354.3,14464.8
2007 2Q ,71768.4,17887.4,14589.9,2075.9,44988.8,16687.9,13915,14177.3
2007 1Q ,69521.8,17338.4,13967.6,2228.7,43396.7,16263.9,13024.1,13935.7
2006 4Q ,70218.4,18848.2,15521.5,2078.1,42880,16265.7,12692.5,13719.6
2006 3Q ,67735.7,17637.7,14457.2,1955.9,41929.7,16001.5,12236,13498.4
2006 2Q ,65220,16506.3,13578.5,1709.5,40858.5,15338.6,12150.9,13220.3
2006 1Q ,64039.2,16124.8,13121.4,1894.3,39876.8,14860,11791.4,13134
2005 4Q ,64698,17366,14320.7,1869.3,39267.1,14923.7,11349.6,12877.7
2005 3Q ,62367.3,15985.5,13118.1,1745.8,38800.2,14646.6,11140.2,12936.9
2005 2Q ,59959,14867.4,12131.9,1623.4,37891.9,14208.5,10973.2,12639.7
2005 1Q ,58110.3,13880.2,11070.5,1843.4,36975.1,13680.2,10744.4,12518.5
2004 4Q ,59272.8,15329.8,12512.8,1771.7,36571.9,na,na,na
2004 3Q ,57486.8,14353,11544.3,1744.4,36099.6,na,na,na
2004 2Q ,56432.5,14190.5,11464.9,1653,35315.8,na,na,na
2004 1Q ,55124,13488.7,10721.6,1856.1,34455.8,na,na,na
2003 4Q ,54979.7,13798.7,10946,1911.7,34351.8,na,na,na
2003 3Q ,53017.6,13229.3,10394.5,1908.7,33253.5,na,na,na
2003 2Q ,49717.3,12235,9550.8,1749.8,31116.9,na,na,na
2003 1Q ,49958.8,12430.9,9728.2,1821.6,30991,na,na,na
2002 4Q ,50497.4,12750.3,9910.6,1972.6,31287.2,na,na,na
2002 3Q ,50336.3,13004.8,10117,2002.1,30996.3,na,na,na
2002 2Q ,49845.5,13095.9,10286.8,1932,30237.8,na,na,na
2002 1Q ,47959.6,12046.2,9123.4,2179.1,29609.2,na,na,na
2001 4Q ,47604.4,11994,9000.6,2259,29391.3,na,na,na
2001 3Q ,47214,11857.9,8744.7,2391,29321.4,na,na,na
2001 2Q ,47825.5,12091.4,9059.8,2288.8,29699.4,na,na,na
2001 1Q ,48495.8,12627.7,9553.6,2383.3,29393.9,na,na,na
2000 4Q ,49955.5,14304.4,11058.2,2512,28956.6,na,na,na
2000 3Q ,49671.1,13989.3,10827.2,2418.2,29041.9,na,na,na
2000 2Q ,47584.6,12859.5,9958.3,2181.3,28316.3,na,na,na
2000 1Q ,45997.5,12151.9,9288.4,2194.7,27517,na,na,na
1999 4Q ,45683.3,12396.9,9323.7,2374.9,26997.8,na,na,na
1999 3Q ,45349.6,12463.3,9395.9,2371.4,26779.6,na,na,na
1999 2Q ,43975.5,11763.4,8777.3,2301.3,26472.6,na,na,na
1999 1Q ,42185,11376,8224.7,2523.4,25117.6,na,na,na
1998 4Q ,42639.9,11494.7,8211.3,2637.8,25563.5,na,na,na
1998 3Q ,41975.6,11352.7,7990.6,2722.4,25122.2,na,na,na
1998 2Q ,41711.4,11228.2,7908.7,2667.9,25142.5,na,na,na
1998 1Q ,41282,10810.5,7492.6,2698.2,24879.2,na,na,na
1997 4Q ,43758.3,11953.9,8471.1,2853.8,26098.5,na,na,na
1997 3Q ,44192.3,11812.9,8361,2821.8,26759,na,na,na
1997 2Q ,42743.9,11029.3,7943.6,2470.8,26230.2,na,na,na
1997 1Q ,40669,9989.7,7059.5,2368.5,25421.6,na,na,na
1996 4Q ,40865,10888.3,7809.6,2496.8,24719.1,na,na,na
1996 3Q ,39833.6,10575.7,7636.3,2352.3,24001,na,na,na
1996 2Q ,39047.4,10454.8,7629.7,2253.3,23452.8,na,na,na
1996 1Q ,38460.7,10169.8,7447.5,2199.7,23082.1,na,na,na
1995 4Q ,38610.5,10647.8,7931.8,2171.5,22731.3,na,na,na
1995 3Q ,38217.2,10546.5,7967.6,2028.6,22558.6,na,na,na
1995 2Q ,35948.6,9611.5,7244.8,1830.7,21573.8,na,na,na
1995 1Q ,34431.9,8771.1,6556.3,1708.5,20760.9,na,na,na
1994 4Q ,35866.6,9565.9,7116.8,1927.7,21321.6,na,na,na
1994 3Q ,35306.3,9485.2,7095.8,1862.5,20942.7,na,na,na
1994 2Q ,33467.3,8872.4,6713.7,1657.5,20103.4,na,na,na
1994 1Q ,32712.4,8243.2,6064.4,1702.9,20003.2,na,na,na
1993 4Q ,32896.3,8439.6,6341.2,1615.6,19858.3,na,na,na
1993 3Q ,31580.6,8234.8,6237.2,1517.3,18952.8,na,na,na
1993 2Q ,30333,7788.2,5950.2,1381.6,18378.5,na,na,na
1993 1Q ,28824.6,7187.4,5421.9,1339.7,17581.6,na,na,na
1992 4Q ,29142.8,7758.8,5852.7,1462.2,17305.6,na,na,na
1992 3Q ,28322.4,7429.3,5639.8,1347.7,16857.9,na,na,na
1992 2Q ,27004,7038.4,5328.8,1274.4,16166.7,na,na,na
1992 1Q ,26453.9,6735.2,5018.2,1291.2,15861.1,na,na,na
1991 4Q ,26814.6,7222.4,5469.6,1322.7,15747.1,na,na,na
1991 3Q ,26545.5,7087.4,5475.2,1170.1,15577.3,na,na,na
1991 2Q ,25624,6766.3,5328.9,1015.6,15218.3,na,na,na
1991 1Q ,25032.5,6533.8,5075.7,1055.7,14894.9,na,na,na
1990 4Q ,25173.4,6830.5,5361.5,1051.3,14711.8,na,na,na
1990 3Q ,24745.6,6621.4,5272,934.9,14495.9,na,na,na
1990 2Q ,24053,6355.3,5014.7,931.5,14144.1,na,na,na
1990 1Q ,23523.7,5946.7,4599.3,950.3,13949.8,na,na,na
1989 4Q ,23293.3,6297.9,4947.7,950.4,13304.5,na,na,na
